exporter,sitc,rca
JPN,1122,0.2610451354464024
JPN,2119,0.39752606149925807
JPN,2331,0.4230324532048732
JPN,2511,0.28623041984764463
JPN,2665,0.365287088942312
JPN,2666,0.5961420210205877
JPN,2667,0.2529508599671755
JPN,2671,0.38065286927995584
JPN,2672,0.13123107652769547
JPN,2786,0.27994938929264634
JPN,2820,0.2827256383120665
JPN,3345,0.4171765607582296
JPN,3352,0.09742187963434873
JPN,3353,0.4357093442447167
JPN,5111,0.2660281210043866
JPN,5112,0.457183566716599
JPN,5113,0.35224481134501473
JPN,5122,0.4524936962811274
JPN,5123,0.390687182117021
JPN,5148,0.06494631470337633
JPN,5154,0.3911359660808249
JPN,5156,0.014023342775150882
JPN,5162,0.046531127660509215
JPN,5163,0.19367114708236982
JPN,5222,0.017619075627527608
JPN,5223,0.49447353456386284
JPN,5233,0.15283203738304213
JPN,5239,0.04474170052160771
JPN,5249,0.34094930082021824
JPN,5311,0.01107080591705431
JPN,5312,0.2353358693277169
JPN,5331,0.04648422017321647
JPN,5332,0.3774467948111255
JPN,5334,0.1603165238102426
JPN,5335,0.0886985057733706
JPN,5543,0.5681358900028994
JPN,5821,0.11244691223730027
JPN,5822,0.21928851174418543
JPN,5823,0.32780933305785753
JPN,5824,0.03821957232644148
JPN,5825,0.0302665598732585
JPN,5826,0.3411099957668208
JPN,5827,0.47107208640623593
JPN,5833,0.06663393220325159
JPN,5835,0.43833637922734087
JPN,5836,0.4055296934593895
JPN,5838,0.15879808041362195
JPN,5839,0.28977267866251954
JPN,5841,0.33147930987751884
JPN,5843,0.8558581410595665
JPN,5849,0.10417180120378791
JPN,5922,0.16638580697485156
JPN,5983,0.3022536291733524
JPN,5989,0.33113752419566467
JPN,6210,0.0313828561782339
JPN,6251,0.2539180698981421
JPN,6252,0.2879635981016501
JPN,6253,0.6513655196916872
JPN,6254,0.0763121004693157
JPN,6259,0.5465112178883433
JPN,6282,0.3578105226563176
JPN,6289,0.318876775100403
JPN,6517,0.14868748339147714
JPN,6519,0.040251158540711415
JPN,6531,0.060095895924391
JPN,6532,0.10635769780829184
JPN,6535,0.4664371201645078
JPN,6542,0.2226716625282336
JPN,6543,0.19289391493392152
JPN,6546,0.03010895683404234
JPN,6572,0.04485079138951502
JPN,6573,0.03122933761205679
JPN,6577,0.1629530934477138
JPN,6631,0.371239470642774
JPN,6633,0.10749946603043331
JPN,6635,0.19425978122251294
JPN,6637,0.31311316319841515
JPN,6638,0.4305743270481728
JPN,6639,0.49314348167979943
JPN,6641,0.6466075104286817
JPN,6643,0.8615814538958773
JPN,6644,0.2953197407754795
