n1,n2,sentiment
21343653,181692013,0.44916690088704303
16667912,21157904,0.6660755322311173
20823648,100091223,0.821102925813137
569244581,190760270,0.27759401778341986
22052282,14413466,0.18693381047277507
22509548,210249492,0.365793979807391
204183944,37237811,0.4286495595569977
125186206,37870523,0.1968084106300431
125186206,23199122,0.4701427697934247
17393915,5741722,0.21731926849017655
5741722,14979330,0.1639712719010831
228554424,33545336,0.19758394193686862
228554424,23097951,0.37129659449464886
80940214,47415772,0.6293348402708862
20175865,177702195,0.1920434955878337
177702195,18492940,0.25777986968136773
127486569,245399797,0.22539163713165766
71036272,245399797,0.22047790128656017
59491108,14410652,0.5333411746056959
59133139,14410652,0.21254059541633885
66546898,15905092,0.23394722996631867
15905092,204183944,0.07760615671258264
61664932,334988425,0.2992996614035868
61664932,14410652,0.21316776032877122
86177206,250497146,0.15104846110284595
282695161,250497146,0.08678739911138958
522718572,15790186,0.7557025474904857
15790186,5741722,0.5882969490163285
22509548,16793287,0.5245323340141901
14410652,16793287,0.45460504002524194
58316145,20175865,0.33225577337230633
20175865,17422976,0.24533825270856305
15097698,27676828,0.5048246719718317
15097698,22643800,0.7140494077625075
80940214,347971482,0.3387809669300012
347971482,88784440,0.44700470398889114
222695674,19550464,0.27111593332265443
222695674,35700018,0.37130302682001126
26519763,478153611,0.2666190845236718
838006482,478153611,0.5784113368891703
62645216,27503607,0.2879174851882181
116783980,27503607,0.1856147277206089
24868543,379498878,0.21297461643961418
282695161,379498878,0.3707633422800329
127486569,838006482,0.5246031614663652
127486569,2302214911,0.21664090677213668
1344539976,478153611,0.5072518755383103
15905092,478153611,0.17425264263362034
34842246,52944689,0.30566400483600986
52944689,1265149364,0.23433993380702486
233761277,16793287,0.25414737220476247
41981181,16793287,0.06661327704985252
48050455,21343653,0.2604278163301104
48050455,14410652,0.6393547701360721
1912083895,16317603,0.31640913275688154
16317603,59829817,0.33593284959928094
118735414,86177206,0.17854876699781186
118735414,52944689,0.2739401409201385
1344539976,347971482,0.3712719726288145
59491108,347971482,0.26993628928563584
62645216,20175865,0.2718552541630119
62645216,52944689,0.10602921409344591
86177206,20251654,0.16788963737397644
20251654,22528309,0.527818230881443
16667912,1912083895,0.25241263778268125
1912083895,19046653,0.11913323178198812
334988425,347971482,0.2716669292380343
334988425,116783980,0.4719983722034905
22509548,421344061,0.7824325698226964
1912083895,14622223,0.25279543768247437
245399797,14622223,0.5070516789093341
17955706,17606369,0.1356313518218568
17606369,27503607,0.22564404769837415
564824282,882947018,0.03970232881422604
257939371,882947018,0.32425975753930036
206877842,492833134,0.9041095803484872
28731961,492833134,0.020715075011311902
58316145,182550591,0.1619810966702125
48050455,182550591,0.15905938497004202
14410652,52282776,0.4984260643448856
15790186,52282776,0.013307618785927755
118735414,549600704,0.17136523277438262
118735414,128587008,0.19221194804379488
1656057482,334988425,0.1457148737244462
334988425,19747572,0.18532280312743793
1656057482,15097698,0.42790445579305464
59491108,21343653,0.2268826662060518
347971482,21343653,0.2243302756097063
21343653,1912083895,0.17567248574363054
1912083895,17198100,0.23885271965913502
334988425,127486569,0.2835137134253619
334988425,319420349,0.22029040332613994
24868543,17850268,0.5557224687249057
233761277,17850268,0.20133754077232566
1132189957,522718572,0.5487479211665857
522718572,18492940,0.4660283615349344
1344539976,24655764,0.45648156863587097
1344539976,104362261,0.5319626870945782
425937551,379498878,0.31923268540600613
116783980,379498878,0.24290926484946077
31703974,127486569,0.18755147098943695
31703974,17850268,0.14921723213635427
1132189957,59491108,0.2911647433021437
59491108,52944689,0.1859451517288918
1255179128,16667912,0.41556608969874054
1255179128,379498878,0.24322724913333005
369534928,245399797,0.5199940897518935
245399797,52282776,0.05988648130058952
334988425,61015562,0.4366665922695431
425937551,61015562,0.18710339902907014
1132189957,206877842,0.755727517119512
1132189957,67026176,0.21163042858780812
127486569,118735414,0.31661911652958624
118735414,48050455,0.15257325559316962
838006482,86177206,0.5849112205006336
838006482,35700018,0.3003046005995787
334988425,15905092,0.22286295966130754
15905092,35603124,0.18557610661721213
61664932,52944689,0.4966222862662515
233761277,21343653,0.3202164445691749
21343653,104362261,0.21785491199106516
269946558,20251654,0.5833367918719925
269946558,18492940,0.37763386739687743
127486569,204183944,0.062176056438457084
204183944,19046653,0.24710245917060117
66546898,21343653,0.22949194112138097
